"county","state","pop.2020","pop.2010","area","Nh","Sh","nh","weights","pop_density","hisp_2020","hisp_2010","totalvotes","DEMOCRAT","REPUBLICAN","THIRD","pop_2020_65","pop_2010_65"
"Dakota","Nebraska",21582,21033,264,93,70783.6212276329,3,31,81.75,7914,7508,6794,2744,3926,124,2807,2387
"Pershing","Nevada",6650,6734,6009,17,548755.57980158,4,4.25,1.10667332334831,1622,1511,2320,547,1731,42,1121,884
"Humboldt","Nevada",17285,16580,9658,17,548755.57980158,4,4.25,1.78970801408159,4706,4066,7771,1689,5877,205,2566,1701
"Esmeralda","Nevada",729,783,3589,17,548755.57980158,4,4.25,0.203120646419615,174,120,480,72,395,13,300,204
"Churchill","Nevada",25516,24816,4929,17,548755.57980158,4,4.25,5.17670927165754,3821,3011,12881,3048,9367,466,4924,3817
"Hillsborough","New Hampshire",422937,401064,876,10,130026.469741485,1,10,482.804794520548,32001,21299,230941,122344,104625,3972,69907,47857
"Warren","New Jersey",109632,108572,358,21,275351.835759901,3,7,306.234636871508,11395,7718,60787,24901,34769,1117,20323,15308
"Morris","New Jersey",509285,492623,469,21,275351.835759901,3,7,1085.89552238806,68658,56794,299322,153881,141134,4307,88146,68603
"Cumberland","New Jersey",154152,156667,489,21,275351.835759901,3,7,315.239263803681,47800,42629,62408,32742,28952,714,23419,19869
"San Juan","New Mexico",121661,130209,5514,33,121246.095859224,2,16.5,22.0640188610809,26633,24885,52294,18083,32874,1337,19912,14155
"Eddy","New Mexico",62314,53912,4182,33,121246.095859224,2,16.5,14.9005260640842,30121,23857,23222,5424,17454,344,8548,7565
"Ulster","New York",181851,182422,1161,62,571346.601597947,16,3.875,156.6330749354,19594,15969,98160,57970,37590,2600,37173,27182
"Tompkins","New York",105740,101743,476,62,571346.601597947,16,3.875,222.142857142857,5505,4409,46048,33619,11096,1333,15769,11014
"Tioga","New York",48455,51012,523,62,571346.601597947,16,3.875,92.6481835564054,1033,698,25170,9634,14791,745,10272,8034
"Sullivan","New York",78624,77480,997,62,571346.601597947,16,3.875,78.8605817452357,12958,10593,35132,15489,18665,978,14797,11528
"St. Lawrence","New York",108505,111821,2821,62,571346.601597947,16,3.875,38.4633108826657,2585,2146,45267,19361,24608,1298,19691,15554
"Saratoga","New York",235509,220123,844,62,571346.601597947,16,3.875,279.039099526066,7929,5377,133556,68471,61305,3780,44681,30247
"Putnam","New York",97668,99644,246,62,571346.601597947,16,3.875,397.024390243902,16871,11723,55318,24953,29283,1082,18327,12520
"Otsego","New York",58524,62260,1003,62,571346.601597947,16,3.875,58.3489531405783,2329,1945,28223,12975,14382,866,13002,10338
"Orleans","New York",40343,42850,817,62,571346.601597947,16,3.875,49.3794369645043,2096,1777,18314,5587,12126,601,7707,6179
"Onondaga","New York",476516,467549,806,62,571346.601597947,16,3.875,591.210918114144,24666,18970,235686,138894,90619,6173,82947,65826
"Nassau","New York",1395774,1341642,453,62,571346.601597947,16,3.875,3081.17880794702,236976,196708,738369,396504,326716,15149,250696,205263
"Greene","New York",47931,49137,658,62,571346.601597947,16,3.875,72.8434650455927,3098,2418,25320,10346,14271,703,10904,8532
"Clinton","New York",79843,82099,1118,62,571346.601597947,16,3.875,71.4159212880143,2372,2062,35637,18364,16514,759,14532,10990
"Chenango","New York",47220,50404,898.95,62,571346.601597947,16,3.875,52.5279492741532,1116,936,22417,8290,13482,645,10049,8404
"Chautauqua","New York",127657,134726,1500,62,571346.601597947,16,3.875,85.1046666666667,10116,8276,59770,23087,34853,1830,26724,22341
"Cattaraugus","New York",77042,80220,1310,62,571346.601597947,16,3.875,58.8106870229008,1773,1368,35018,11879,22155,984,15360,12381
"Washington","North Carolina",11003,13119,424,100,171965.208373188,8,12.5,25.9504716981132,691,475,6205,3396,2781,28,3048,2398
"Union","North Carolina",238267,202110,640,100,171965.208373188,8,12.5,372.2921875,28623,21039,131011,48725,80382,1904,32536,19685
"Randolph","North Carolina",144171,141985,790,100,171965.208373188,8,12.5,182.494936708861,17713,14733,73316,15618,56894,804,26606,20072
"Polk","North Carolina",19328,20474,239,100,171965.208373188,8,12.5,80.8702928870293,1237,1112,12358,4518,7689,151,6824,5012
"Iredell","North Carolina",186693,159788,597,100,171965.208373188,8,12.5,312.718592964824,15147,10910,102371,33888,67010,1473,30546,20576
"Caldwell","North Carolina",80652,83025,474,100,171965.208373188,8,12.5,170.151898734177,5001,3812,42829,10245,32119,465,17217,12897
"Buncombe","North Carolina",269452,238743,660,100,171965.208373188,8,12.5,408.260606060606,18364,14272,161569,96515,62412,2642,55508,38297
